Wall time,Step,Value
1786032895.6385512,256,-71.59861755371094
1786032896.3120158,512,-204.23158264160156
1786032896.8477778,768,-292.88116455078125
1786032897.4013348,1024,-278.5310363769531
1786032897.8495061,1280,-342.7548828125
1786032898.4866073,1536,-381.1215515136719
1786032898.9789877,1792,-364.71923828125
1786032899.4732788,2048,-376.0338134765625
1786032900.0188909,2304,-387.9975280761719
1786032900.569059,2560,-367.330078125
1786032901.0770526,2816,-360.2978820800781
1786032901.5803232,3072,-347.3161315917969
1786032902.092022,3328,-328.4859313964844
1786032902.58314,3584,-328.8309326171875
1786032903.0370064,3840,-315.99176025390625
1786032903.4017406,4096,-314.72235107421875
1786032903.9521172,4352,-298.89691162109375
1786032904.4620156,4608,-297.49127197265625
1786032904.9048061,4864,-293.4182434082031
1786032905.3482473,5120,-285.8982849121094
1786032905.7847865,5376,-286.6607971191406
1786032906.2989254,5632,-278.8182373046875
1786032906.751937,5888,-273.4313659667969
1786032907.1526914,6144,-270.9721984863281
1786032907.621726,6400,-262.41339111328125
1786032908.0367544,6656,-253.9768829345703
1786032908.3802764,6912,-248.98135375976562
1786032908.8454604,7168,-245.33509826660156
1786032909.4123952,7424,-241.2504119873047
1786032909.8534858,7680,-241.11119079589844
1786032910.2916353,7936,-238.33535766601562
1786032910.8015769,8192,-235.8868408203125
1786032911.247437,8448,-233.2289581298828
1786032911.7272115,8704,-230.0147247314453
1786032912.2121353,8960,-228.35379028320312
1786032912.7148442,9216,-225.57318115234375
1786032913.1447163,9472,-221.99668884277344
1786032913.5520349,9728,-221.86721801757812
1786032913.9996343,9984,-221.24697875976562
1786032914.503438,10240,-217.3892059326172
1786032915.0134647,10496,-215.45526123046875
1786032915.4609435,10752,-212.40675354003906
1786032915.972471,11008,-209.5364990234375
1786032916.444406,11264,-206.9707794189453
1786032916.8498764,11520,-206.70010375976562
1786032917.361955,11776,-205.17794799804688
1786032917.7948785,12032,-201.53170776367188
1786032918.2567773,12288,-200.05398559570312
1786032918.7349248,12544,-197.7038116455078
1786032919.1187859,12800,-195.13916015625
1786032919.5436175,13056,-194.00572204589844
1786032920.0426662,13312,-192.45343017578125
1786032920.534154,13568,-190.437744140625
1786032921.0384402,13824,-189.22720336914062
1786032921.4359052,14080,-189.0878448486328
1786032921.9091759,14336,-188.366943359375
1786032922.3579013,14592,-189.05165100097656
1786032922.8303745,14848,-187.97042846679688
1786032923.3844688,15104,-188.38743591308594
1786032923.8270075,15360,-186.3087921142578
1786032924.361669,15616,-179.13804626464844
1786032924.7666492,15872,-178.5680389404297
1786032925.263713,16128,-176.1529541015625
1786032925.7997026,16384,-165.1612548828125
1786032926.239649,16640,-163.48097229003906
1786032926.7098453,16896,-157.890380859375
1786032927.2131062,17152,-151.00135803222656
1786032927.6666958,17408,-148.23959350585938
1786032928.1775918,17664,-146.55902099609375
1786032928.6465816,17920,-142.03123474121094
1786032929.0659425,18176,-140.8960418701172
1786032929.5884879,18432,-141.16253662109375
1786032930.055162,18688,-136.852783203125
1786032930.555001,18944,-136.33828735351562
1786032931.0217402,19200,-135.97901916503906
1786032931.3863776,19456,-136.462158203125
1786032931.8581235,19712,-135.2534942626953
1786032932.262953,19968,-131.596435546875
1786032932.6541228,20224,-133.9298858642578
1786032933.1565201,20480,-132.81373596191406
1786032933.6130219,20736,-130.7985382080078
1786032934.1042898,20992,-132.7152099609375
1786032934.596202,21248,-133.7324981689453
1786032935.0518458,21504,-137.75331115722656
1786032935.5781517,21760,-139.33131408691406
1786032936.0668545,22016,-140.3573760986328
1786032936.5407743,22272,-140.054931640625
1786032937.017266,22528,-141.4546661376953
1786032937.4854221,22784,-138.79014587402344
1786032938.030271,23040,-136.2919158935547
1786032938.4432468,23296,-137.61715698242188
1786032938.9154727,23552,-139.3277130126953
1786032939.4091964,23808,-138.1439208984375
1786032939.8767102,24064,-138.01329040527344
1786032940.222134,24320,-137.59483337402344
1786032940.94805,24576,-137.37660217285156
1786032941.4650235,24832,-137.99217224121094
1786032942.1502001,25088,-136.16006469726562
